piCid	piCnum	piCid_orth	mm10	cast	c3h	129	nod	AllStrains
pi-Fam168b__piC1	piC1	pi-Fam168b__piC1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
1-qC1.3-637__piC2	piC2	1-qC1.3-637__piC2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Hjurp__piC3	piC3	pi-Hjurp__piC3	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
1-qD-2017__piC4	piC4	1-qD-2017__piC4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Asb1__piC5	piC5	pi-Asb1__piC5	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
1-qD-4525__piC6	piC6	1-qD-4525__piC6	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Ing5__piC7	piC7	pi-Ing5__piC7	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
1-qE2.3-2__piC8	piC8	1-qE2.3-2__piC8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Tfcp2l1__piC9	piC9	pi-Tfcp2l1__piC9	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
1-qE3-706__piC10	piC10	1-qE3-706__piC10	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Elk4__piC11	piC11	pi-Elk4__piC11	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Ppp1r15b__piC12	piC12	pi-Ppp1r15b__piC12	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Ppp1r12b__piC13	piC13	pi-Ppp1r12b__piC13	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Abl2__piC14	piC14	pi-Abl2__piC14	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Rc3h1__piC15	piC15	pi-Rc3h1__piC15	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Zbtb37__piC16	piC16	pi-Zbtb37__piC16	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Uhmk1__piC17	piC17	pi-Uhmk1__piC17	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Gtf3c4__piC18	piC18	pi-Gtf3c4__piC18	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Strbp__piC19	piC19	pi-Strbp__piC19	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
2-qE1-35981__piC20	piC20	2-qE1-35981__piC20	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
2-qE5-4__piC21	piC21	2-qE5-4__piC21	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
2-qF1-2536__piC22	piC22	2-qF1-2536__piC22	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Cbfa2t2__piC24	piC24	pi-Cbfa2t2__piC24	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Phf20__piC25	piC25	pi-Phf20__piC25	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Zmat3__piC27	piC27	pi-Zmat3__piC27	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
3-qA3-2052__piC28	piC28	3-qA3-2052__piC28	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Ccrn4l__piC29	piC29	pi-Ccrn4l__piC29	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Gabpb2__piC30	piC30	pi-Gabpb2__piC30	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-1700006A11Rik__piC31	piC31	pi-1700006A11Rik__piC31	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Mcart1__piC32	piC32	pi-Mcart1__piC32	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-BC026590__piC33	piC33	pi-BC026590__piC33	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-D730040F13Rik__piC34	piC34	pi-D730040F13Rik__piC34	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
4-qB3-3994__piC35	piC35	4-qB3-3994__piC35	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Snx30__piC36	piC36	pi-Snx30__piC36	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
4-qB3-639__piC37	piC37	4-qB3-639__piC37	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
4-qB3-277__piC38	piC38	4-qB3-277__piC38	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
4-qC5-17839__piC39	piC39	4-qC5-17839__piC39	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Zyg11a__piC40	piC40	pi-Zyg11a__piC40	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Zyg11b__piC41	piC41	pi-Zyg11b__piC41	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
4-qD2.2-2182__piC42	piC42	4-qD2.2-2182__piC42	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
4-qD2.2-349__piC43	piC43	4-qD2.2-349__piC43	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Eya3__piC44	piC44	pi-Eya3__piC44	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Rcan3__piC45	piC45	pi-Rcan3__piC45	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
4-qD3-2082__piC46	piC46	4-qD3-2082__piC46	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Luzp1__piC47	piC47	pi-Luzp1__piC47	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Zbtb49__piC48	piC48	pi-Zbtb49__piC48	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Bend4__piC49	piC49	pi-Bend4__piC49	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Wdfy3__piC50	piC50	pi-Wdfy3__piC50	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
5-qF-14508__piC51	piC51	5-qF-14508__piC51	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
5-qF-14224__piC52	piC52	5-qF-14224__piC52	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Ssh1__piC53	piC53	pi-Ssh1__piC53	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
5-qF-4633__piC54	piC54	5-qF-4633__piC54	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Mlec__piC55	piC55	pi-Mlec__piC55	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Kctd7__piC56	piC56	pi-Kctd7__piC56	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Tbl2__piC57	piC57	pi-Tbl2__piC57	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
5-qG2-950__piC58	piC58	5-qG2-950__piC58	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Fbxl18__piC59	piC59	pi-Fbxl18__piC59	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
5-qG2-2301__piC60	piC60	5-qG2-2301__piC60	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
5-qG3-23659__piC61	piC61	5-qG3-23659__piC61	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
6-qC3-6258__piC62	piC62	6-qC3-6258__piC62	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Tet3__piC63	piC63	pi-Tet3__piC63	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
6-qC3-100__piC64	piC64	6-qC3-100__piC64	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Gm5878__piC65	piC65	pi-Gm5878__piC65	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Fbxo41__piC66	piC66	pi-Fbxo41__piC66	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
6-qC3-2394__piC67	piC67	6-qC3-2394__piC67	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
6-qD1-2831__piC68	piC68	6-qD1-2831__piC68	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Mgll__piC69	piC69	pi-Mgll__piC69	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Nr2c2__piC70	piC70	pi-Nr2c2__piC70	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-March08__piC71	piC71	pi-March08__piC71	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Bcl2l13__piC72	piC72	pi-Bcl2l13__piC72	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
6-qF3-8009__piC73	piC73	6-qF3-8009__piC73	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
6-qF3-28913__piC74	piC74	6-qF3-28913__piC74	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
6-qF3-3040__piC75	piC75	6-qF3-3040__piC75	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
6-qF3-1063__piC76	piC76	6-qF3-1063__piC76	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Zfp382__piC77	piC77	pi-Zfp382__piC77	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
pi-Klf13__piC79	piC79	pi-Klf13__piC79	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
7-qD1-9417__piC80	piC80	7-qD1-9417__piC80	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
7-qD1-16444__piC81	piC81	7-qD1-16444__piC81	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
7-qD1-654__piC82	piC82	7-qD1-654__piC82	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
7-qD1-19431__piC83	piC83	7-qD1-19431__piC83	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
