piCid	piCnum	piCid_orth	mm10	cast	c3h	129	nod	AllStrains
PTmerged15	PTmerged15	PTmerged15	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
PTmerged20	PTmerged20	PTmerged20	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE
PTmerged21	PTmerged21	PTmerged21	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
PTmerged103	PTmerged103	PTmerged103	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
PTmerged104	PTmerged104	PTmerged104	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged199	PTmerged199	PTmerged199	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged224	PTmerged224	PTmerged224	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
PTmerged240	PTmerged240	PTmerged240	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
PTmerged241	PTmerged241	PTmerged241	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
PTmerged242	PTmerged242	PTmerged242	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
PTmerged243	PTmerged243	PTmerged243	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
PTmerged244	PTmerged244	PTmerged244	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
PTmerged348	PTmerged348	PTmerged348	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged349	PTmerged349	PTmerged349	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged360	PTmerged360	PTmerged360	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
PTmerged378	PTmerged378	PTmerged378	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
PTmerged395	PTmerged395	PTmerged395	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
PTmerged396	PTmerged396	PTmerged396	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged436	PTmerged436	PTmerged436	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
PTmerged440	PTmerged440	PTmerged440	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged491	PTmerged491	PTmerged491__v1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged491	PTmerged491	PTmerged491__v2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged491	PTmerged491	PTmerged491__v3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged492	PTmerged492	PTmerged492__v1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged492	PTmerged492	PTmerged492__v2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged492	PTmerged492	PTmerged492__v3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged493	PTmerged493	PTmerged493__v1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged493	PTmerged493	PTmerged493__v2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged493	PTmerged493	PTmerged493__v3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged500	PTmerged500	PTmerged500	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
PTmerged516	PTmerged516	PTmerged516	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged518	PTmerged518	PTmerged518	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
PTmerged519	PTmerged519	PTmerged519	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
PTmerged520	PTmerged520	PTmerged520	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
PTmerged521	PTmerged521	PTmerged521	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
PTmerged554	PTmerged554	PTmerged554__v1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged554	PTmerged554	PTmerged554__v2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged554	PTmerged554	PTmerged554__v3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged555	PTmerged555	PTmerged555__v1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged555	PTmerged555	PTmerged555__v2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged555	PTmerged555	PTmerged555__v3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged556	PTmerged556	PTmerged556__v1	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged556	PTmerged556	PTmerged556__v2	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged556	PTmerged556	PTmerged556__v3	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
PTmerged676	PTmerged676	PTmerged676	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
PTmerged723	PTmerged723	PTmerged723	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
PTmerged749	PTmerged749	PTmerged749	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
