cast_gene,129_gene,nod_gene,c3h_gene,mouse_gene
MGP_CASTEiJ_G0016524,MGP_129S1SvImJ_G0017185,MGP_NODShiLtJ_G0017049,MGP_C3HHeJ_G0016945,ENSMUSG00000019804
MGP_CASTEiJ_G0009052,MGP_129S1SvImJ_G0009322,MGP_NODShiLtJ_G0009208,MGP_C3HHeJ_G0009226,ENSMUSG00000099226
MGP_CASTEiJ_G0027224,MGP_129S1SvImJ_G0028070,MGP_NODShiLtJ_G0027884,MGP_C3HHeJ_G0027769,ENSMUSG00000040536
MGP_CASTEiJ_G0022139,MGP_129S1SvImJ_G0022882,MGP_NODShiLtJ_G0022710,MGP_C3HHeJ_G0022612,ENSMUSG00000022604
MGP_CASTEiJ_G0004702,MGP_129S1SvImJ_G0004837,MGP_NODShiLtJ_G0004763,MGP_C3HHeJ_G0004748,ENSMUSG00000101429
MGP_CASTEiJ_G0016838,MGP_129S1SvImJ_G0017508,MGP_NODShiLtJ_G0017369,MGP_C3HHeJ_G0017271,ENSMUSG00000003346
MGP_CASTEiJ_G0025193,MGP_129S1SvImJ_G0026006,MGP_NODShiLtJ_G0025836,MGP_C3HHeJ_G0025733,ENSMUSG00000047594
MGP_CASTEiJ_G0015077,MGP_129S1SvImJ_G0015763,MGP_NODShiLtJ_G0015629,MGP_C3HHeJ_G0015522,ENSMUSG00000074039
MGP_CASTEiJ_G0014947,MGP_129S1SvImJ_G0015631,MGP_NODShiLtJ_G0015496,MGP_C3HHeJ_G0015391,ENSMUSG00000086427
MGP_CASTEiJ_G0015441,MGP_129S1SvImJ_G0016088,MGP_NODShiLtJ_G0015954,MGP_C3HHeJ_G0015858,ENSMUSG00000027520
MGP_CASTEiJ_G0026540,MGP_129S1SvImJ_G0027378,MGP_NODShiLtJ_G0027193,MGP_C3HHeJ_G0027094,ENSMUSG00000004892
MGP_CASTEiJ_G0022113,MGP_129S1SvImJ_G0022858,MGP_NODShiLtJ_G0022685,MGP_C3HHeJ_G0022588,ENSMUSG00000033157
MGP_CASTEiJ_G0019977,MGP_129S1SvImJ_G0018210,MGP_NODShiLtJ_G0018064,MGP_C3HHeJ_G0017965,ENSMUSG00000078153
MGP_CASTEiJ_G0037614,MGP_129S1SvImJ_G0038833,MGP_NODShiLtJ_G0038586,MGP_C3HHeJ_G0038474,ENSMUSG00000077152
MGP_CASTEiJ_G0007702,MGP_129S1SvImJ_G0007890,MGP_NODShiLtJ_G0007804,MGP_C3HHeJ_G0007809,ENSMUSG00000098989
MGP_CASTEiJ_G0032672,MGP_129S1SvImJ_G0033659,MGP_NODShiLtJ_G0033464,MGP_C3HHeJ_G0033347,ENSMUSG00000030465
MGP_CASTEiJ_G0008305,MGP_129S1SvImJ_G0008530,MGP_NODShiLtJ_G0008429,MGP_C3HHeJ_G0008446,ENSMUSG00000099155
MGP_CASTEiJ_G0025717,MGP_129S1SvImJ_G0026537,MGP_NODShiLtJ_G0026354,MGP_C3HHeJ_G0026256,ENSMUSG00000027339
MGP_CASTEiJ_G0030480,MGP_129S1SvImJ_G0031407,MGP_NODShiLtJ_G0031218,MGP_C3HHeJ_G0031111,ENSMUSG00000030203
MGP_CASTEiJ_G0019756,MGP_129S1SvImJ_G0020492,MGP_NODShiLtJ_G0020332,MGP_C3HHeJ_G0020241,ENSMUSG00000058022
MGP_CASTEiJ_G0031416,MGP_129S1SvImJ_G0032384,MGP_NODShiLtJ_G0032201,MGP_C3HHeJ_G0032088,ENSMUSG00000030606
MGP_CASTEiJ_G0022046,MGP_129S1SvImJ_G0022790,MGP_NODShiLtJ_G0022617,MGP_C3HHeJ_G0022520,ENSMUSG00000022901
MGP_CASTEiJ_G0030799,MGP_129S1SvImJ_G0031753,MGP_NODShiLtJ_G0031561,MGP_C3HHeJ_G0031456,ENSMUSG00000040891
MGP_CASTEiJ_G0026120,MGP_129S1SvImJ_G0026944,MGP_NODShiLtJ_G0026762,MGP_C3HHeJ_G0026662,ENSMUSG00000074570
MGP_CASTEiJ_G0007600,MGP_129S1SvImJ_G0007785,MGP_NODShiLtJ_G0007700,MGP_C3HHeJ_G0007705,ENSMUSG00000104783
MGP_CASTEiJ_G0036483,MGP_129S1SvImJ_G0037670,MGP_NODShiLtJ_G0037432,MGP_C3HHeJ_G0037317,ENSMUSG00000088904
MGP_CASTEiJ_G0032246,MGP_129S1SvImJ_G0033219,MGP_NODShiLtJ_G0033026,MGP_C3HHeJ_G0032916,ENSMUSG00000025498
