BL6_geneid,129_geneid,C3H_geneid,NOD_geneid,CAST_geneid
ENSMUSG00000101429::ENSMUSG00000101429,MGP_129S1SvImJ_G0004837::ENSMUSG00000101429,MGP_C3HHeJ_G0004748::ENSMUSG00000101429,MGP_NODShiLtJ_G0004763::ENSMUSG00000101429,MGP_CASTEiJ_G0004702::ENSMUSG00000101429
ENSMUSG00000106503::ENSMUSG00000106503,MGP_129S1SvImJ_G0006297::ENSMUSG00000106503,MGP_C3HHeJ_G0006216::ENSMUSG00000106503,MGP_NODShiLtJ_G0006233::ENSMUSG00000106503,MGP_CASTEiJ_G0006149::ENSMUSG00000106503
ENSMUSG00000100780::ENSMUSG00000100780,MGP_129S1SvImJ_G0007561::ENSMUSG00000100780,MGP_C3HHeJ_G0007481::ENSMUSG00000100780,MGP_NODShiLtJ_G0007482::ENSMUSG00000100780,MGP_CASTEiJ_G0007383::ENSMUSG00000100780
ENSMUSG00000087587::ENSMUSG00000087587,MGP_129S1SvImJ_G0007581::ENSMUSG00000087587,MGP_C3HHeJ_G0007501::ENSMUSG00000087587,MGP_NODShiLtJ_G0007501::ENSMUSG00000087587,MGP_CASTEiJ_G0007402::ENSMUSG00000087587
ENSMUSG00000097051::ENSMUSG00000097051,MGP_129S1SvImJ_G0005259::ENSMUSG00000097051,MGP_C3HHeJ_G0005173::ENSMUSG00000097051,MGP_NODShiLtJ_G0005188::ENSMUSG00000097051,MGP_CASTEiJ_G0005120::ENSMUSG00000097051
ENSMUSG00000103079::ENSMUSG00000103079,MGP_129S1SvImJ_G0005041::ENSMUSG00000103079,MGP_C3HHeJ_G0004953::ENSMUSG00000103079,MGP_NODShiLtJ_G0004968::ENSMUSG00000103079,MGP_CASTEiJ_G0004901::ENSMUSG00000103079
ENSMUSG00000108736::ENSMUSG00000108736,MGP_129S1SvImJ_G0007256::ENSMUSG00000108736,MGP_C3HHeJ_G0007175::ENSMUSG00000108736,MGP_NODShiLtJ_G0007178::ENSMUSG00000108736,MGP_CASTEiJ_G0007077::ENSMUSG00000108736
ENSMUSG00000108739::ENSMUSG00000108739,MGP_129S1SvImJ_G0007145::ENSMUSG00000108739,MGP_C3HHeJ_G0007063::ENSMUSG00000108739,MGP_NODShiLtJ_G0007068::ENSMUSG00000108739,MGP_CASTEiJ_G0006967::ENSMUSG00000108739
ENSMUSG00000108038::ENSMUSG00000108038,MGP_129S1SvImJ_G0007047::ENSMUSG00000108038,MGP_C3HHeJ_G0006905::ENSMUSG00000108038,MGP_NODShiLtJ_G0006969::ENSMUSG00000108038,MGP_CASTEiJ_G0006874::ENSMUSG00000108038
ENSMUSG00000085431::ENSMUSG00000085431,MGP_129S1SvImJ_G0005952::ENSMUSG00000085431,MGP_C3HHeJ_G0005871::ENSMUSG00000085431,MGP_NODShiLtJ_G0005889::ENSMUSG00000085431,MGP_CASTEiJ_G0005807::ENSMUSG00000085431
