piCid	piCnum	piCid_orth	mm10	cast	c3h	129	nod	AllStrains
PTmerged1	PTmerged1	PTmerged1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged2	PTmerged2	PTmerged2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged3	PTmerged3	PTmerged3	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged4	PTmerged4	PTmerged4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged5	PTmerged5	PTmerged5	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged6	PTmerged6	PTmerged6	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged7	PTmerged7	PTmerged7	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged8	PTmerged8	PTmerged8	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged9	PTmerged9	PTmerged9	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged10	PTmerged10	PTmerged10	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged11	PTmerged11	PTmerged11	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged12	PTmerged12	PTmerged12	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged13	PTmerged13	PTmerged13	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged14	PTmerged14	PTmerged14	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged16	PTmerged16	PTmerged16	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged17	PTmerged17	PTmerged17	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged18	PTmerged18	PTmerged18	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged19	PTmerged19	PTmerged19	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged22	PTmerged22	PTmerged22	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged23	PTmerged23	PTmerged23	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged24	PTmerged24	PTmerged24	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged25	PTmerged25	PTmerged25	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged26	PTmerged26	PTmerged26	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged27	PTmerged27	PTmerged27	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged28	PTmerged28	PTmerged28	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged29	PTmerged29	PTmerged29	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged30	PTmerged30	PTmerged30	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged31	PTmerged31	PTmerged31	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged32	PTmerged32	PTmerged32	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged33	PTmerged33	PTmerged33	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged34	PTmerged34	PTmerged34	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged35	PTmerged35	PTmerged35	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged36	PTmerged36	PTmerged36	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged37	PTmerged37	PTmerged37	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged38	PTmerged38	PTmerged38	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged39	PTmerged39	PTmerged39	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged40	PTmerged40	PTmerged40	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged41	PTmerged41	PTmerged41	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged42	PTmerged42	PTmerged42	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged43	PTmerged43	PTmerged43	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged44	PTmerged44	PTmerged44	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged45	PTmerged45	PTmerged45	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged46	PTmerged46	PTmerged46	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged47	PTmerged47	PTmerged47	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged48	PTmerged48	PTmerged48	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged49	PTmerged49	PTmerged49	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged50	PTmerged50	PTmerged50	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged51	PTmerged51	PTmerged51	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged52	PTmerged52	PTmerged52	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged53	PTmerged53	PTmerged53	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged54	PTmerged54	PTmerged54	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged55	PTmerged55	PTmerged55	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged56	PTmerged56	PTmerged56	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged57	PTmerged57	PTmerged57	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged58	PTmerged58	PTmerged58	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged59	PTmerged59	PTmerged59	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged60	PTmerged60	PTmerged60	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged61	PTmerged61	PTmerged61	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged62	PTmerged62	PTmerged62	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged63	PTmerged63	PTmerged63	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged64	PTmerged64	PTmerged64	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged65	PTmerged65	PTmerged65	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged66	PTmerged66	PTmerged66	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged67	PTmerged67	PTmerged67	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged68	PTmerged68	PTmerged68	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged69	PTmerged69	PTmerged69	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged70	PTmerged70	PTmerged70	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged71	PTmerged71	PTmerged71	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged72	PTmerged72	PTmerged72	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged73	PTmerged73	PTmerged73	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged74	PTmerged74	PTmerged74	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged75	PTmerged75	PTmerged75	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged76	PTmerged76	PTmerged76	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged77	PTmerged77	PTmerged77	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged78	PTmerged78	PTmerged78	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged79	PTmerged79	PTmerged79	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged80	PTmerged80	PTmerged80	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged81	PTmerged81	PTmerged81	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged82	PTmerged82	PTmerged82	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged83	PTmerged83	PTmerged83	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged84	PTmerged84	PTmerged84	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged85	PTmerged85	PTmerged85	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged86	PTmerged86	PTmerged86	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged87	PTmerged87	PTmerged87	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged88	PTmerged88	PTmerged88	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged89	PTmerged89	PTmerged89	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged90	PTmerged90	PTmerged90	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged91	PTmerged91	PTmerged91	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged92	PTmerged92	PTmerged92	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged93	PTmerged93	PTmerged93	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged94	PTmerged94	PTmerged94	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged95	PTmerged95	PTmerged95	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged96	PTmerged96	PTmerged96	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged97	PTmerged97	PTmerged97	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged98	PTmerged98	PTmerged98	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged99	PTmerged99	PTmerged99	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged100	PTmerged100	PTmerged100	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged101	PTmerged101	PTmerged101	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged102	PTmerged102	PTmerged102	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged105	PTmerged105	PTmerged105	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
PTmerged106	PTmerged106	PTmerged106	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
