BL6_geneid,129_geneid,C3H_geneid,CAST_geneid,NOD_geneid
ENSMUSG00000019804::ENSMUSG00000019804,MGP_129S1SvImJ_G0017185::ENSMUSG00000019804,MGP_C3HHeJ_G0016945::ENSMUSG00000019804,MGP_CASTEiJ_G0016524::ENSMUSG00000019804,MGP_NODShiLtJ_G0017049::ENSMUSG00000019804
ENSMUSG00000040536::ENSMUSG00000040536,MGP_129S1SvImJ_G0028070::ENSMUSG00000040536,MGP_C3HHeJ_G0027769::ENSMUSG00000040536,MGP_CASTEiJ_G0027224::ENSMUSG00000040536,MGP_NODShiLtJ_G0027884::ENSMUSG00000040536
ENSMUSG00000022604::ENSMUSG00000022604,MGP_129S1SvImJ_G0022882::ENSMUSG00000022604,MGP_C3HHeJ_G0022612::ENSMUSG00000022604,MGP_CASTEiJ_G0022139::ENSMUSG00000022604,MGP_NODShiLtJ_G0022710::ENSMUSG00000022604
ENSMUSG00000003346::ENSMUSG00000003346,MGP_129S1SvImJ_G0017508::ENSMUSG00000003346,MGP_C3HHeJ_G0017271::ENSMUSG00000003346,MGP_CASTEiJ_G0016838::ENSMUSG00000003346,MGP_NODShiLtJ_G0017369::ENSMUSG00000003346
ENSMUSG00000047594::ENSMUSG00000047594,MGP_129S1SvImJ_G0026006::ENSMUSG00000047594,MGP_C3HHeJ_G0025733::ENSMUSG00000047594,MGP_CASTEiJ_G0025193::ENSMUSG00000047594,MGP_NODShiLtJ_G0025836::ENSMUSG00000047594
ENSMUSG00000027520::ENSMUSG00000027520,MGP_129S1SvImJ_G0016088::ENSMUSG00000027520,MGP_C3HHeJ_G0015858::ENSMUSG00000027520,MGP_CASTEiJ_G0015441::ENSMUSG00000027520,MGP_NODShiLtJ_G0015954::ENSMUSG00000027520
ENSMUSG00000004892::ENSMUSG00000004892,MGP_129S1SvImJ_G0027378::ENSMUSG00000004892,MGP_C3HHeJ_G0027094::ENSMUSG00000004892,MGP_CASTEiJ_G0026540::ENSMUSG00000004892,MGP_NODShiLtJ_G0027193::ENSMUSG00000004892
ENSMUSG00000033157::ENSMUSG00000033157,MGP_129S1SvImJ_G0022858::ENSMUSG00000033157,MGP_C3HHeJ_G0022588::ENSMUSG00000033157,MGP_CASTEiJ_G0022113::ENSMUSG00000033157,MGP_NODShiLtJ_G0022685::ENSMUSG00000033157
ENSMUSG00000078153::ENSMUSG00000078153,MGP_129S1SvImJ_G0018210::ENSMUSG00000078153,MGP_C3HHeJ_G0017965::ENSMUSG00000078153,MGP_CASTEiJ_G0019977::ENSMUSG00000078153,MGP_NODShiLtJ_G0018064::ENSMUSG00000078153
ENSMUSG00000030465::ENSMUSG00000030465,MGP_129S1SvImJ_G0033659::ENSMUSG00000030465,MGP_C3HHeJ_G0033347::ENSMUSG00000030465,MGP_CASTEiJ_G0032672::ENSMUSG00000030465,MGP_NODShiLtJ_G0033464::ENSMUSG00000030465
