Mouse gene stable ID	Gene stable ID	Mouse homology type	Mouse C3H/HeJ gene stable ID	Mouse C3H/HeJ homology type	Mouse NOD/ShiLtJ gene stable ID	Mouse NOD/ShiLtJ homology type	Mouse CAST/EiJ gene stable ID	Mouse CAST/EiJ homology type
ENSMUSG00000101429	MGP_129S1SvImJ_G0004837	ortholog_one2one	MGP_C3HHeJ_G0004748	ortholog_one2one	MGP_NODShiLtJ_G0004763	ortholog_one2one	MGP_CASTEiJ_G0004702	ortholog_one2one
	MGP_129S1SvImJ_G0007326							
ENSMUSG00000106503	MGP_129S1SvImJ_G0006297	ortholog_one2one	MGP_C3HHeJ_G0006216	ortholog_one2one	MGP_NODShiLtJ_G0006233	ortholog_one2one	MGP_CASTEiJ_G0006149	ortholog_one2one
ENSMUSG00000100780	MGP_129S1SvImJ_G0007561	ortholog_one2one	MGP_C3HHeJ_G0007481	ortholog_one2one	MGP_NODShiLtJ_G0007482	ortholog_one2one	MGP_CASTEiJ_G0007383	ortholog_one2one
ENSMUSG00000087587	MGP_129S1SvImJ_G0007581	ortholog_one2one	MGP_C3HHeJ_G0007501	ortholog_one2one	MGP_NODShiLtJ_G0007501	ortholog_one2one	MGP_CASTEiJ_G0007402	ortholog_one2one
ENSMUSG00000097051	MGP_129S1SvImJ_G0005259	ortholog_one2one	MGP_C3HHeJ_G0005173	ortholog_one2one	MGP_NODShiLtJ_G0005188	ortholog_one2one	MGP_CASTEiJ_G0005120	ortholog_one2one
ENSMUSG00000103079	MGP_129S1SvImJ_G0005041	ortholog_one2one	MGP_C3HHeJ_G0004953	ortholog_one2one	MGP_NODShiLtJ_G0004968	ortholog_one2one	MGP_CASTEiJ_G0004901	ortholog_one2one
ENSMUSG00000108736	MGP_129S1SvImJ_G0007256	ortholog_one2one	MGP_C3HHeJ_G0007175	ortholog_one2one	MGP_NODShiLtJ_G0007178	ortholog_one2one	MGP_CASTEiJ_G0007077	ortholog_one2one
ENSMUSG00000108739	MGP_129S1SvImJ_G0007145	ortholog_one2one	MGP_C3HHeJ_G0007063	ortholog_one2one	MGP_NODShiLtJ_G0007068	ortholog_one2one	MGP_CASTEiJ_G0006967	ortholog_one2one
ENSMUSG00000108038	MGP_129S1SvImJ_G0007047	ortholog_one2one	MGP_C3HHeJ_G0006905	ortholog_one2one	MGP_NODShiLtJ_G0006969	ortholog_one2one	MGP_CASTEiJ_G0006874	ortholog_one2one
ENSMUSG00000085431	MGP_129S1SvImJ_G0005952	ortholog_one2one	MGP_C3HHeJ_G0005871	ortholog_one2one	MGP_NODShiLtJ_G0005889	ortholog_one2one	MGP_CASTEiJ_G0005807	ortholog_one2one
ENSMUSG00000101211	MGP_129S1SvImJ_G0004865	ortholog_one2one	MGP_C3HHeJ_G0004776	ortholog_one2one	MGP_NODShiLtJ_G0004791	ortholog_one2one	MGP_CASTEiJ_G0004729	ortholog_one2one
ENSMUSG00000099512	MGP_129S1SvImJ_G0007477	ortholog_one2one	MGP_C3HHeJ_G0007394	ortholog_one2one	MGP_NODShiLtJ_G0007398	ortholog_one2one	MGP_CASTEiJ_G0007297	ortholog_one2one
ENSMUSG00000099429	MGP_129S1SvImJ_G0005658	ortholog_one2one	MGP_C3HHeJ_G0005572	ortholog_one2one	MGP_NODShiLtJ_G0005589	ortholog_one2one	MGP_CASTEiJ_G0005516	ortholog_one2one
ENSMUSG00000097860	MGP_129S1SvImJ_G0006378	ortholog_one2one	MGP_C3HHeJ_G0006295	ortholog_one2one	MGP_NODShiLtJ_G0006312	ortholog_one2one	MGP_CASTEiJ_G0006229	ortholog_one2one
ENSMUSG00000107679	MGP_129S1SvImJ_G0007085	ortholog_one2one	MGP_C3HHeJ_G0007002	ortholog_one2one	MGP_NODShiLtJ_G0007007	ortholog_one2one	MGP_CASTEiJ_G0006909	ortholog_one2one
ENSMUSG00000099839	MGP_129S1SvImJ_G0004896	ortholog_one2one	MGP_C3HHeJ_G0004808	ortholog_one2one	MGP_NODShiLtJ_G0004824	ortholog_one2one	MGP_CASTEiJ_G0004759	ortholog_one2one
ENSMUSG00000097401	MGP_129S1SvImJ_G0005648	ortholog_one2one	MGP_C3HHeJ_G0005562	ortholog_one2one	MGP_NODShiLtJ_G0005579	ortholog_one2one	MGP_CASTEiJ_G0005506	ortholog_one2one
ENSMUSG00000079070	MGP_129S1SvImJ_G0007314	ortholog_one2one	MGP_C3HHeJ_G0007233	ortholog_one2one	MGP_NODShiLtJ_G0007236	ortholog_one2one	MGP_CASTEiJ_G0007136	ortholog_one2one
