Gene stable ID	Mouse gene stable ID	Mouse homology type	Mouse C3H/HeJ gene stable ID	Mouse C3H/HeJ homology type	Mouse CAST/EiJ gene stable ID	Mouse CAST/EiJ homology type	Mouse NOD/ShiLtJ gene stable ID	Mouse NOD/ShiLtJ homology type
MGP_129S1SvImJ_G0017185	ENSMUSG00000019804	ortholog_one2one	MGP_C3HHeJ_G0016945	ortholog_one2one	MGP_CASTEiJ_G0016524	ortholog_one2one	MGP_NODShiLtJ_G0017049	ortholog_one2one
MGP_129S1SvImJ_G0028070	ENSMUSG00000040536	ortholog_one2one	MGP_C3HHeJ_G0027769	ortholog_one2one	MGP_CASTEiJ_G0027224	ortholog_one2one	MGP_NODShiLtJ_G0027884	ortholog_one2one
MGP_129S1SvImJ_G0022882	ENSMUSG00000022604	ortholog_one2one	MGP_C3HHeJ_G0022612	ortholog_one2one	MGP_CASTEiJ_G0022139	ortholog_one2one	MGP_NODShiLtJ_G0022710	ortholog_one2one
MGP_129S1SvImJ_G0017508	ENSMUSG00000003346	ortholog_one2one	MGP_C3HHeJ_G0017271	ortholog_one2one	MGP_CASTEiJ_G0016838	ortholog_one2one	MGP_NODShiLtJ_G0017369	ortholog_one2one
MGP_129S1SvImJ_G0026006	ENSMUSG00000047594	ortholog_one2one	MGP_C3HHeJ_G0025733	ortholog_one2one	MGP_CASTEiJ_G0025193	ortholog_one2one	MGP_NODShiLtJ_G0025836	ortholog_one2one
MGP_129S1SvImJ_G0016088	ENSMUSG00000027520	ortholog_one2one	MGP_C3HHeJ_G0015858	ortholog_one2one	MGP_CASTEiJ_G0015441	ortholog_one2one	MGP_NODShiLtJ_G0015954	ortholog_one2one
MGP_129S1SvImJ_G0027378	ENSMUSG00000004892	ortholog_one2one	MGP_C3HHeJ_G0027094	ortholog_one2one	MGP_CASTEiJ_G0026540	ortholog_one2one	MGP_NODShiLtJ_G0027193	ortholog_one2one
MGP_129S1SvImJ_G0022858	ENSMUSG00000033157	ortholog_one2one	MGP_C3HHeJ_G0022588	ortholog_one2one	MGP_CASTEiJ_G0022113	ortholog_one2one	MGP_NODShiLtJ_G0022685	ortholog_one2one
MGP_129S1SvImJ_G0018210	ENSMUSG00000078153	ortholog_one2one	MGP_C3HHeJ_G0017965	ortholog_one2one	MGP_CASTEiJ_G0019977	ortholog_one2one	MGP_NODShiLtJ_G0018064	ortholog_one2one
MGP_129S1SvImJ_G0033659	ENSMUSG00000030465	ortholog_one2one	MGP_C3HHeJ_G0033347	ortholog_one2one	MGP_CASTEiJ_G0032672	ortholog_one2one	MGP_NODShiLtJ_G0033464	ortholog_one2one
MGP_129S1SvImJ_G0026537	ENSMUSG00000027339	ortholog_one2one	MGP_C3HHeJ_G0026256	ortholog_one2one	MGP_CASTEiJ_G0025717	ortholog_one2one	MGP_NODShiLtJ_G0026354	ortholog_one2one
MGP_129S1SvImJ_G0031407	ENSMUSG00000030203	ortholog_one2one	MGP_C3HHeJ_G0031111	ortholog_one2one	MGP_CASTEiJ_G0030480	ortholog_one2one	MGP_NODShiLtJ_G0031218	ortholog_one2one
MGP_129S1SvImJ_G0020492	ENSMUSG00000058022	ortholog_one2one	MGP_C3HHeJ_G0020241	ortholog_one2one	MGP_CASTEiJ_G0019756	ortholog_one2one	MGP_NODShiLtJ_G0020332	ortholog_one2one
MGP_129S1SvImJ_G0032384	ENSMUSG00000030606	ortholog_one2one	MGP_C3HHeJ_G0032088	ortholog_one2one	MGP_CASTEiJ_G0031416	ortholog_one2one	MGP_NODShiLtJ_G0032201	ortholog_one2one
MGP_129S1SvImJ_G0022790	ENSMUSG00000022901	ortholog_one2one	MGP_C3HHeJ_G0022520	ortholog_one2one	MGP_CASTEiJ_G0022046	ortholog_one2one	MGP_NODShiLtJ_G0022617	ortholog_one2one
MGP_129S1SvImJ_G0031753	ENSMUSG00000040891	ortholog_one2one	MGP_C3HHeJ_G0031456	ortholog_one2one	MGP_CASTEiJ_G0030799	ortholog_one2one	MGP_NODShiLtJ_G0031561	ortholog_one2one
MGP_129S1SvImJ_G0026944	ENSMUSG00000074570	ortholog_one2one	MGP_C3HHeJ_G0026662	ortholog_one2one	MGP_CASTEiJ_G0026120	ortholog_one2one	MGP_NODShiLtJ_G0026762	ortholog_one2one
MGP_129S1SvImJ_G0033219	ENSMUSG00000025498	ortholog_one2one	MGP_C3HHeJ_G0032916	ortholog_one2one	MGP_CASTEiJ_G0032246	ortholog_one2one	MGP_NODShiLtJ_G0033026	ortholog_one2one
MGP_129S1SvImJ_G0032428	ENSMUSG00000025586	ortholog_one2one	MGP_C3HHeJ_G0032132	ortholog_one2one	MGP_CASTEiJ_G0031460	ortholog_one2one	MGP_NODShiLtJ_G0032245	ortholog_one2one
MGP_129S1SvImJ_G0031727	ENSMUSG00000003099	ortholog_one2one	MGP_C3HHeJ_G0031428	ortholog_one2one	MGP_CASTEiJ_G0030779	ortholog_one2one	MGP_NODShiLtJ_G0031534	ortholog_one2one
